In,Out,Date,Time,Branch,Group
1,1,12/31/2024,9:00 PM,Central,Basement Entrance
0,3,12/31/2024,5:00 PM,Shadle Park,SH East
5,6,12/31/2024,5:00 PM,Liberty Park,LP Main
1,0,12/31/2024,5:00 PM,Indian Trail,IT Main
0,1,12/31/2024,5:00 PM,Hillyard,HY North
9,9,12/31/2024,5:00 PM,Central,1st Floor Main Entrance
76,74,12/31/2024,4:00 PM,South Hill,SO Main
43,76,12/31/2024,4:00 PM,Shadle Park,SH East
29,41,12/31/2024,4:00 PM,Liberty Park,LP Main
7,13,12/31/2024,4:00 PM,Indian Trail,IT Main
11,27,12/31/2024,4:00 PM,Hillyard,HY North
86,189,12/31/2024,4:00 PM,Central,1st Floor Main Entrance
61,45,12/31/2024,3:00 PM,South Hill,SO Main
40,45,12/31/2024,3:00 PM,Shadle Park,SH East
25,42,12/31/2024,3:00 PM,Liberty Park,LP Main
17,14,12/31/2024,3:00 PM,Indian Trail,IT Main
9,9,12/31/2024,3:00 PM,Hillyard,HY North
112,145,12/31/2024,3:00 PM,Central,1st Floor Main Entrance
69,67,12/31/2024,2:00 PM,South Hill,SO Main
55,65,12/31/2024,2:00 PM,Shadle Park,SH East
33,41,12/31/2024,2:00 PM,Liberty Park,LP Main
7,7,12/31/2024,2:00 PM,Indian Trail,IT Main
16,24,12/31/2024,2:00 PM,Hillyard,HY North
160,194,12/31/2024,2:00 PM,Central,1st Floor Main Entrance
81,72,12/31/2024,1:00 PM,South Hill,SO Main
64,89,12/31/2024,1:00 PM,Shadle Park,SH East
29,36,12/31/2024,1:00 PM,Liberty Park,LP Main
11,18,12/31/2024,1:00 PM,Indian Trail,IT Main
11,7,12/31/2024,1:00 PM,Hillyard,HY North
163,192,12/31/2024,1:00 PM,Central,1st Floor Main Entrance
63,39,12/31/2024,12:00 PM,South Hill,SO Main
83,274,12/31/2024,12:00 PM,Shadle Park,SH East
30,46,12/31/2024,12:00 PM,Liberty Park,LP Main
34,34,12/31/2024,12:00 PM,Indian Trail,IT Main
9,20,12/31/2024,12:00 PM,Hillyard,HY North
105,143,12/31/2024,12:00 PM,Central,1st Floor Main Entrance
72,102,12/31/2024,11:00 AM,South Hill,SO Main
208,102,12/31/2024,11:00 AM,Shadle Park,SH East
36,43,12/31/2024,11:00 AM,Liberty Park,LP Main
20,23,12/31/2024,11:00 AM,Indian Trail,IT Main
14,16,12/31/2024,11:00 AM,Hillyard,HY North
132,152,12/31/2024,11:00 AM,Central,1st Floor Main Entrance
80,50,12/31/2024,10:00 AM,South Hill,SO Main
156,45,12/31/2024,10:00 AM,Shadle Park,SH East
45,36,12/31/2024,10:00 AM,Liberty Park,LP Main
22,11,12/31/2024,10:00 AM,Indian Trail,IT Main
25,10,12/31/2024,10:00 AM,Hillyard,HY North
133,130,12/31/2024,10:00 AM,Central,1st Floor Main Entrance
32,48,12/31/2024,9:00 AM,South Hill,SO Main
60,32,12/31/2024,9:00 AM,Shadle Park,SH East
26,10,12/31/2024,9:00 AM,Liberty Park,LP Main
14,10,12/31/2024,9:00 AM,Indian Trail,IT Main
22,19,12/31/2024,9:00 AM,Hillyard,HY North
147,82,12/31/2024,9:00 AM,Central,1st Floor Main Entrance
22,46,12/31/2024,8:00 AM,South Hill,SO Main
6,0,12/31/2024,8:00 AM,Liberty Park,LP Main
15,10,12/31/2024,8:00 AM,Indian Trail,IT Main
5,4,12/31/2024,8:00 AM,Hillyard,HY North
24,34,12/31/2024,8:00 AM,Central,1st Floor Main Entrance
10,26,12/31/2024,7:00 AM,Liberty Park,LP Main
9,10,12/31/2024,7:00 AM,Indian Trail,IT Main
6,6,12/31/2024,7:00 AM,Central,Basement Entrance
10,7,12/31/2024,6:00 AM,South Hill,SO Main
2,0,12/31/2024,6:00 AM,Liberty Park,LP Main
3,2,12/31/2024,5:00 AM,Central,Basement Entrance
6,29,12/30/2024,8:00 PM,Central,1st Floor Main Entrance
3,10,12/30/2024,7:00 PM,Liberty Park,LP Main
0,3,12/30/2024,7:00 PM,Hillyard,HY North
7,18,12/30/2024,7:00 PM,Central,1st Floor Main Entrance
28,5,12/30/2024,6:00 PM,South Hill,SO Main
21,47,12/30/2024,6:00 PM,Shadle Park,SH East
7,19,12/30/2024,6:00 PM,Liberty Park,LP Main
4,10,12/30/2024,6:00 PM,Indian Trail,IT Main
1,6,12/30/2024,6:00 PM,Hillyard,HY North
44,121,12/30/2024,6:00 PM,Central,1st Floor Main Entrance
19,36,12/30/2024,5:00 PM,South Hill,SO Main
29,36,12/30/2024,5:00 PM,Shadle Park,SH East
11,27,12/30/2024,5:00 PM,Liberty Park,LP Main
8,5,12/30/2024,5:00 PM,Indian Trail,IT Main
15,20,12/30/2024,5:00 PM,Hillyard,HY North
50,76,12/30/2024,5:00 PM,Central,1st Floor Main Entrance
56,71,12/30/2024,4:00 PM,South Hill,SO Main
49,61,12/30/2024,4:00 PM,Shadle Park,SH East
24,58,12/30/2024,4:00 PM,Liberty Park,LP Main
10,20,12/30/2024,4:00 PM,Indian Trail,IT Main
11,17,12/30/2024,4:00 PM,Hillyard,HY North
120,157,12/30/2024,4:00 PM,Central,1st Floor Main Entrance
79,62,12/30/2024,3:00 PM,South Hill,SO Main
67,51,12/30/2024,3:00 PM,Shadle Park,SH East
46,51,12/30/2024,3:00 PM,Liberty Park,LP Main
21,25,12/30/2024,3:00 PM,Indian Trail,IT Main
24,30,12/30/2024,3:00 PM,Hillyard,HY North
92,135,12/30/2024,3:00 PM,Central,1st Floor Main Entrance
73,64,12/30/2024,2:00 PM,South Hill,SO Main
62,62,12/30/2024,2:00 PM,Shadle Park,SH East
46,40,12/30/2024,2:00 PM,Liberty Park,LP Main
36,32,12/30/2024,2:00 PM,Indian Trail,IT Main
34,37,12/30/2024,2:00 PM,Hillyard,HY North
133,186,12/30/2024,2:00 PM,Central,1st Floor Main Entrance
72,64,12/30/2024,1:00 PM,South Hill,SO Main
66,72,12/30/2024,1:00 PM,Shadle Park,SH East
21,25,12/30/2024,1:00 PM,Liberty Park,LP Main
26,26,12/30/2024,1:00 PM,Indian Trail,IT Main
18,11,12/30/2024,1:00 PM,Hillyard,HY North
157,151,12/30/2024,1:00 PM,Central,1st Floor Main Entrance
64,63,12/30/2024,12:00 PM,South Hill,SO Main
76,68,12/30/2024,12:00 PM,Shadle Park,SH East
24,36,12/30/2024,12:00 PM,Liberty Park,LP Main
24,21,12/30/2024,12:00 PM,Indian Trail,IT Main
17,29,12/30/2024,12:00 PM,Hillyard,HY North
148,169,12/30/2024,12:00 PM,Central,1st Floor Main Entrance
84,90,12/30/2024,11:00 AM,South Hill,SO Main
65,80,12/30/2024,11:00 AM,Shadle Park,SH East
45,39,12/30/2024,11:00 AM,Liberty Park,LP Main
21,36,12/30/2024,11:00 AM,Indian Trail,IT Main
15,12,12/30/2024,11:00 AM,Hillyard,HY North
144,148,12/30/2024,11:00 AM,Central,1st Floor Main Entrance
67,47,12/30/2024,10:00 AM,South Hill,SO Main
73,66,12/30/2024,10:00 AM,Shadle Park,SH East
28,27,12/30/2024,10:00 AM,Liberty Park,LP Main
34,26,12/30/2024,10:00 AM,Indian Trail,IT Main
21,14,12/30/2024,10:00 AM,Hillyard,HY North
